,abundance,Aliusviridae,Alphaflexiviridae,Arenaviridae,Aspiviridae,Astroviridae,Barnaviridae,Benyviridae,Betaflexiviridae,Birnaviridae,Botourmiaviridae,Bromoviridae,Caliciviridae,Carmotetraviridae,Chrysoviridae,Chuviridae,Closteroviridae,Coronaviridae,Cruciviridae,Deltaflexiviridae,Dicistroviridae,Discoviridae,Endornaviridae,Flaviviridae,Hepeviridae,Hypoviridae,Iflaviridae,Kitaviridae,Luteoviridae,Marnaviridae,Mitoviridae,Mymonaviridae,Narnaviridae,Nodaviridae,Orthomyxoviridae,Paramyxoviridae,Partitiviridae,Permutotetraviridae,Phasmaviridae,Phenuiviridae,Picobirnaviridae,Picornaviridae,Polycipiviridae,Potyviridae,Qinviridae,Reoviridae,Rhabdoviridae,Secoviridae,Sedoreoviridae,Solemoviridae,Solinviviridae,Togaviridae,Tombusviridae,Totiviridae,Tymoviridae,Virgaviridae,Yueviridae
DYG1,99.9762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10243370568134,0,0,0,0.44870631990508,0,0,0,0,0,0,0,0,0,0,1.1914510144649,0,0,0,0,0,1.88115632107556,0,0,0,0,0,0,0,0,0,0,1.52595134124801,0,0,0,0
DYG2,99.96764,0,0,0,0,3.67795260842548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79712898779655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90361841890597,0,0,0,0,0,0,0,0,0,0,2.94473922491544,0,0,0,0
DYG3,99.67863,0,0,0,0,1.1360860973841,0,0,0,0,0,0,1.7160033436348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4437322414016,0,0,0,0.671172842715083,0,0,0,0,0,0,0,2.30429660301836,0,0,0,0,0,0,2.30507178302229,0,0,0,1.33984878303764,0,0,0,0
DYT1,99.96687,0,0,0,0,0.909556029241175,0,0,0,0,0,0,1.99986969210827,0,0,0,0,0,0,0,0.710963118995276,0,0,0,2.81998458661721,0,1.6262376851469,0,0,0,0,0,0,0,0,1.02734960777476,0,0,0,0,0,2.7308387787076,0,0,0,0,1.02530586526477,0,2.95368239106433,0,0,0,1.69019608002851,0,0,0,0
HYG1,92.89045,0,0,0,0,1.5063697170955,0,0,0,0,0,0,2.11082531005496,0,0,0,0,0,0,0,0,0,0,0,1.08242630086077,0,0,0,0,1.29269900304393,0,0,0,1.74671202251666,0,0,0,0,0,0,0,3.87221689486083,0,0,0,1.48657215051836,0,0,2.35308876483395,0,0,0,2.8394214785623,0.714329759745233,0,0,0
HYG2,98.32808,0,0,0,0,1.63124078023551,0,0,0,0,0,0,2.8460152933067,0,0,0,0,0,2.19763887555557,0,5.20722861201368,0,0,0,2.89684575828148,0,2.49815886891289,0,0,2.4769040531738,0,0,3.21778126833245,2.40320634164481,0,0,0,0,0,0,0,4.07022485018596,0,0,0,0,0,0,2.64283040015106,1.24625231229932,0,0,3.30008002399862,2.35525990552738,0,0,0
HYG3,99.99979,0,0,0,0,0,0,0,0,0,0,0,1.93105084677739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22115332195471,0,0,0,0,0,0,1.45347123372294,0,0,0,0,1.93470040171543,2.70724646351724,0,0,0,0,0,2.70072967022304,0,0,0,1.53932706353937,0,0,0,0
HYLY1,99.05624,0,0,0,0,1.40585839931764,0,0,0,0,0,0,2.36302876903801,0,0,0,0,0,0,0,0.845098040014257,0,1.06929801211553,0,1.31386722036915,0,0,0,0,0.810232517995084,0,0,0.812913356642856,0,0,1.05842602445701,0,0,0,0,0,2.87990977709255,0,0,0,0,0,0,1.43328968519503,0,0,0,2.65094829037324,0,0,0,0
HYLY2,99.75192,0,0,0,0,0,0,0,0,0,0,0,3.41561095850264,0,0,0,0,0,0,0,0.589949601325708,1.33625955201419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00857462427628,0,0,0,0,0,0,0,0,0,0,1.59483435558332,0,0,0,0
HYLY3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94155118317051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77548665825858,0,0,0,0,0,0,0,0
HYT1,99.98347,0,0,0,0,0,0,0,0,0,0,0,1.63518204865627,0,0,0,0,0,0,0,2.05637117947553,0,0,0,1.10140335055533,0,0,0,1.00302947055362,1.2380461031288,0,0,0,0,0,0,0,0,0,0,0,3.76216746077948,0,0,0,0,0,0,4.35181794380553,0,0,0,2.50682961723456,0,0,0.939019776448667,1.43854234878611
HYY1,99.98193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16076856186113,0,3.43220419494516,0,0,0,0,0,0,0,0,0,0,0.501059262217751,0,0,0,0
HYY2,99.98427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957607287060095,0,0,0,0,0,0,0,0,0,0,0,2.02722725406726,0,0,0,0,0,0,0,0,0,0,0.651278013998144,0,0,0,0
HYY3,12.1261,0,0,0,0,0,0,0,0,0,0,0,2.86682470442803,0,0,0,0,0,0,0,0,0,0,0,1.24551266781415,0,0,0,0,0,0,0,0,4.05526133136332,0,0,0,0,0,0,0,2.15115525515092,1.42111012979343,0,0,0,1.32056168019524,0,2.87586541088478,0,0,0,4.08465526587886,0,0,0,0
LRDYA,77.12388,0,0,0,0,1.34380233316166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11008442288692,0,0,0,0,0,0,0,2.48732223975182,0,0,0,0.949877704036875,0,0,0,0,0,0,0,0,0,0,0
LRDYYA,80.87051,0,0,0,0,0,0,0,0,0,0,0,3.73079034797951,0,0,0,0,0,0,0,0,0,0,0,1.87436583573005,0,2.42810238278344,0,0,0,0,0,0,2.15265519881729,0,0,0,0,0,0,0,3.3884280433013,0,0,0,0,1.98497712641549,0,2.81224469680037,0,0,0,2.59435939685948,1.84707886206572,0,2.09293107567355,0
LRHYA,78.70514,0,0,0,0,0,0,0,0,0,0,0,3.48431550214402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72197540158595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRHYYA,96.9525,0,0,0,0,3.33454824013352,0,0,0,0,0,0,3.3216874755217,0,0,0,0,0,0,0,0,0,0,0,1.43711609304808,0,0,0,0,0,0,0,0,1.52491514753987,0,0,0,0,0,0,0,3.63241173443006,0,0,0,0,0,0,1.33605927786635,0,0,0,2.38422792917705,0,0,0,0
LRLSA,99.9441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24620057816807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85647512546185,0,0,0
LRLSYA,100,0,0,0,0,0,0,0,3.29336476485586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01157044359728,0,0,0,2.85149072583937,0,0,0,0,0,0,0,3.25036632214543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRQHWA,99.88438,0,0,0,0,0,0,0,0,0,0,0,2.66244616078836,0,0,0,0,0,0,0,0,0,0,0,1.39058187855044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96121695142019,0,0,0,0,0,0,1.31238894937059,0,0,0,1.58001211252942,1.68690426956818,0,0,0
LRQHYWA,97.1285,0,0,0,0,0,0,0,0,0,0,0,1.08242630086077,0,0,0,0,2.88140177710915,0,0,2.65687406161716,0.69196510276736,0,0,1.07736790528416,0,0,0,0,0,0,0,0,0,0,0,1.1646502159343,0,0,0,0,2.90240543395581,0,0,0,0,0.914343157119441,0,0,0,0,0,2.22791240175175,1.99224414404677,0,0,0
LSDG1,21.12607,0,0,0,0,0,0,0,1.89392812654261,0,0,0.731588765186739,2.37957743332781,0,2.97553290233585,2.80697319375188,0,0,0,0,3.36039458462054,0,0,1.04178731897175,0,0,3.04927618321513,0,3.69425147780086,1.35198945543563,1.45423489574827,0,1.93946933084353,2.80372334668331,1.92371019439656,0,3.77813822135375,0,0,0,0,1.30254737248749,1.96236933567002,0,0,2.84501737783447,0.809559714635268,0,0,3.64152864177562,1.49108141342319,0,3.61202158391552,4.41554273550909,3.42944218962046,2.60337174910086,0
LSDG2,9.77985,0,0,0,0,0,0,0,0,0,1.79448804665917,0,2.05899509352542,0,0,0,0,0,0,0,1.53617953213723,0,0,0,0,0,0,0,0,0,0,0,3.58615617160903,2.09159662081006,0,0,0,0,0.656098202012832,0,0,3.25607761590883,0,1.5828584622245,0,0,0,0,0,1.99286267138903,0,0,2.41995574848976,4.19036980233706,0,2.12917410296777,0
LSDG3,90.6355,0,0,0,0,2.76042248342321,0,0,1.89965638030564,0,0,0,3.01061368891485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41346741298582,0,0,0,0,0,0,0.920645001406788,0,3.63010126857163,0,0,0,0,0,0,2.17026171539496,0,0,0,3.07645838771215,1.8256208250035,0,0,0
LSGG1,99.63212,0,0,0,0,0,0,0,1.13703745478951,0,0,0,2.42716140292597,0,0,0,0,0,0,0,0,0,0,0,0.9304395947667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23139312340312,0,0,0,0,0,0,0,0,0,0,2.39246831704385,0,0,0,0
LSGG2,0.77183,0,0,0,0,0,0,0,0,0,0,0,1.91671707759881,0,0,0,0,0,0,2.14541396516788,0,0,0,0,2.55959544866406,0,0,0,0,0,0,0,0,0,0,0.811575005870593,0,0,0,0,0,4.99719440478229,0,0,0,0,0,0,2.25650126621132,0,0,0,2.64507823477292,0,0,0,0
LSGG3,1.68352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35694703787249,0,0,0,2.91412622019697,0,0,0,0,5.57418044252654,0,0,0,0,0,0,0,0,0,0,1.89691184082603,1.95472479097906,0,0,0
LSGLB1,99.99874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37657695705651,0,0,0,0,0,0,2.4933604457623,0,0,0,0.40823996531185,0,0,0,0
LSGY1,99.99665,0,0,0,0,1.28690535297237,0,0,0,0,0,0,0,0,0.781036938621132,0,0,0,0,0,1.61034071145216,0.809559714635268,0,0,2.3859635706007,0,0,0,0,1.81637388875236,0,0,0,0,0,0,0,0,0,0,0,3.61241401935397,0,0,0.82865989653532,0,2.96693447653331,0,0,0,0.833784374656479,0,3.01040597262518,0,0,0,0
LSGY2,52.79167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12483014941386,0,0,0,0,0,0,0,2.76347291825466,0,0,0,0,0,0,0,0,1.89845091919837,0,0,0,0,0,0,0,0,0,0,2.63579528155398,3.39877825612452,0,0,0
LSGY3,99.97924,0,0,0,0,0,0,0,0,0,0,0,2.66353131959299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81888541459401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHBA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHDG1,99.98665,0,0,0,0,0,0,0,0,0,0,0,1.82275633295139,0,0,0,0,0,0,0,0.881384656770573,1.64414305050992,0,0,0.800029359244134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51886912644293,0,0,0,0,0,0,0,0,0,0,2.37235958252432,0,0,0,0
QHDG2,99.98552,0,0,0,0,0,0,0,0,0,0,0,2.30457668876611,0,0,0,0,0,0,0,0.887617300335736,0,0,0,1.00346053210951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65969757233432,0,0,0,0,0,0,0,0,0,0,2.5595595293465,0,0,0,0
QHDG3,52.2732,0,0,0,0,0,0,0,0,0,1.11159852488039,0,0,0,1.57863920996807,0,0,0,0,0,0,2.86466531127226,0,0,1.4119562379304,0,0,0,0,2.29261045283832,0,0,0,0,0,0,0,0,0,0,0,3.86074276006663,0,0,0.817565369559781,0,0,1.74764481932825,0,0,0,0,3.21140356841839,1.43632170013973,0,0,1.06069784035361
QHDT1,99.8472,0,0,0,0,0,0,0,0,0,0.967079734144497,0,2.7626260551755,0,0,0,0,0,0,0,0,0,0,0,1.22608411597582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28265382858354,0,0,0,0,0,0,0.793790384690819,0,0,0,1.29247759366778,0,0,0,0
QHDW1,1.8876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95439352115141,0,0,0,0,0,0,0,0,0,0,3.12631976640881,0,0,0,0
QHDW2,11.08801,0,0,0,0,0,0,0,0,0,0,0,2.89332336379849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19103160884862,0,0,1.51241754860084,0,0,0,0,0,0,0,0,5.40091848221022,0,0,0,0,0,0,2.20528558350052,0,0,0,2.64691320859569,0,0,0,0
QHDW3,98.89633,0,0,0,0,0,0,0,0,0,0,0,1.30728204703335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409933123331295,0,0,0,0,0,0,0,2.16533337259698,0,0,0,0,0,0,0,0,0,0,1.21192108430851,0,0,0,0
QHDYW1,99.97863,0,0,0,0,0,0,0,0,0,0,0,0.918554530550273,0,0,0,0,0,0,0,0.514547752660286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559906625036112,0,0,0,0,0,1.5328817194074,0,0,0,0,0,0,3.1977958907862,0,0,0,1.20248831706009,0,0,0,0
QHDYW2,99.75915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709269960975831,0,0,0,0,0,0,0,0,2.12561137189746,0,0,0,0,0,1.18780263871842,0,0,0,0,0,2.73770140771463,0,0,0,0,0,0,0,0,0,0,1.5700757053216,0.993876914941211,0,0,0
QHDYW3,97.7189,0,0,0,0,0.948901760970214,0,0,0,0,0,0,1.49220145139254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68690426956818,0,0,1.28981183911762,0,0,0,1.8394780473742,0,0,0,0.77451696572855,2.42605558248393,0,0,0,0,0,0,2.67152458062967,0,0,0,1.60042832573213,2.42073117144157,0,0,0
