,abundance,Alphacarmotetravirus,Alphachrysovirus,Alphaendornavirus,Alphanodavirus,Alphapartitivirus,Alphavirus,Ampivirus,Anulavirus,Aparavirus,Arenavirus,Avastrovirus,Bacillarnavirus,Benyvirus,Betapartitivirus,Capillovirus,Cardiovirus,Carlavirus,Chrysovirus,Closterovirus,Coguvirus,Cripavirus,Culicidavirus,Deltaflexivirus,Deltahypovirus,Duamitovirus,Fabavirus,Gammacoronavirus,Gammapartitivirus,Giardiavirus,Gruhelivirus,Hepatovirus,Hypovirus,Iflavirus,Kobuvirus,Kusarnavirus,Labyrnavirus,Ledantevirus,Lentinuvirus,Locarnavirus,Luteovirus,Macanavirus,Maculavirus,Magoulivirus,Marafivirus,Marnavirus,Metaavulavirus,Mitovirus,Mosavirus,Nacovirus,Narnavirus,Ollusvirus,Orthodiscovirus,Orthopicobirnavirus,Orthorubulavirus,Ourmiavirus,Phlebovirus,Picobirnavirus,Potexvirus,Potyvirus,Rotavirus,Salisharnavirus,Sapelovirus,Sclerotimonavirus,Sicinivirus,Sigmavirus,Sobemovirus,Sogarnavirus,Sopolycivirus,Tobamovirus,Tombusvirus,Torchivirus,Totivirus,Tremovirus,Tropivirus,Tupavirus,Tymovirus,Vesiculovirus,Yingvirus,Yuyuevirus
DYG1,99.9762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7723217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7769190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1914510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYG2,99.96764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2853728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7352579,0,0,0,0,0,0,0,0,1.9411137,0,0,0,0,0,0
DYG3,99.67863,0,0,0,0,0,0,0,0,0,0,0.7291648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1679963,0,0,0,1.443732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3050718,0,0,0,0.8943161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYT1,99.96687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6681062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0273496,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9536824,0,0,0,1.4852954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYG1,92.89045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2673079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564903,0,0,0,0,0,0,0,0,0,0,2.3530888,0,0,0,3.6298630,0,0,0,0,0,0,0,0.7143298,0,0,0,0,0,0,0
HYG2,98.32808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7087904,0,0,3.7689229,0,0,0,0,0,0,0,0,0,0,2.406813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6428304,0,0,0,0,0,0,0,0,0,0,0,1.9505109,0,0,0,0,0,0,0
HYG3,99.99979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8548524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7007297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYLY1,99.05624,0,0,1.069298,0,0,0,0,0,0,0,0.9503649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7557834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0584260,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4332897,0,0,0,0,0,0,0,0,0,0,1.6229390,0,0,0,0,0,0,0,0
HYLY2,99.75192,0,0,0,0,0,0,0,0,0.5899496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8435193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3362596,0,0,0,0,0,0,0,0,0,0,0,2.3645885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYLY3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7754867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
