""	"1452809344A"	"1452809393A"	"1452809400A"	"1452809675B"	"1452809706B"	"1452809712A"	"1452809718A"	"1452809728A"	"1452809776A"	"1452809907A"	"1452809911A"	"1452809920A"	"1452809985A"	"1452810026A"	"1452810096A"	"1452810107B"	"1452810910A"	"1452810944A"	"14528137818A"	"14528137844A"	"DYB10RA"	"DYB1RA"	"DYB4RA"	"DYBR101A"	"DYBR64A"	"DYBR68A"	"DYCR75A"	"DYCR77A"	"DYCR80B"	"DYG1"	"DYG1_1452809919A"	"DYG1RA"	"DYG2"	"DYG3_1452809913A"	"DYG6_1452810188A"	"DYGR13A"	"DYGR61A"	"DYGR8A"	"DYT1"	"DYW1_1452809582A"	"DYW1RA"	"DYW2_1452809849A"	"DYW3RA"	"DYW4_1452810104A"	"DYW5RA"	"DYWD18A"	"DYWR10A"	"DYWR14A"	"DYY1_1452809577A"	"DYY10RA"	"DYY2_1452810918A"	"DYY2RA"	"DYYR1A"	"DYYR28A"	"DYYR2A"	"DYYR36A"	"DYYR51A"	"DYYR5A"	"DYYR6A"	"DYYR91B"	"DYYR9A"	"HYG1"	"HYG2"	"HYLY1"	"HYLY2"	"HYLY3"	"HYT1"	"HYY2"	"HYY3"	"LRDYA"	"LRDYYA"	"LRHYA"	"LRHYYA"	"LRLSA"	"LRLSYA"	"LRQHWA"	"LRQHYWA"	"LSDG1"	"LSDG2"	"LSDG3"	"LSGG1"	"LSGG2"	"LSGG3"	"LSGR10A"	"LSGR21A"	"LSGR2A"	"LSGR32A"	"LSGR3A"	"LSGR4A"	"LSGY1"	"LSGY2"	"LSWR1A"	"LSWR9A"	"LSY1RA"	"LSY3RA"	"LSY5RA"	"QHBA"	"QHDG2"	"QHDG3"	"QHDT1"	"QHDW1"	"QHDW2"	"QHDW3"	"QHDYW2"	"QHGR12B"	"QHGR22B"	"QHGR30B"	"QHGR35B"	"QHGR38B"	"QHGR8B"	"QHMB10RA"	"QHMB16RA"	"QHMB2RA"	"QHMG1"	"QHMG10RA"	"QHMG1RA"	"QHMG2"	"QHMG6RA"	"QHMGD1A"	"QHMGR5B"	"QHMGR7B"	"QHMW1"	"QHMW1RA"	"QHMW3"	"QHMW3RA"	"QHMW5RA"	"QHMY10RA"	"QHMY19RA"	"QHMY3RA"	"QHMYD4A"	"QHMYR3A"	"QHMYW1"	"QHMYW3"	"QHYR10B"	"QHYR14B"	"QHYR19B"	"QHYR27B"	"QHYR43B"	"QHYR47B"
"1452809344A"	1	0.999279818834427	0.999526332328556	0.997806865012433	0.998802241605844	0.999602772824882	0.999534922863635	0.999829439456751	0.999429108899644	0.992522667719194	0.999585260779291	0.999352185231104	0.994207768110128	0.999580390805054	0.999415013801877	0.988013514241103	0.995429550810541	0.999609582120972	0.999143194119864	0.998671059553144	0.99939834572175	0.996454792316202	0.999670916140848	0.997006687551759	0.999750484148301	0.999832080826268	0.999761235116696	0.999780708347408	0.999816363192796	0.999665900799337	0.999212784172986	0.997699613819017	0.999408371965405	0.998465891014453	0.999193008647965	0.999646458724727	0.999722526586031	0.999238046203901	0.999402536810866	0.994203917377129	0.997010910177851	0.999336744362327	0.99516321656051	0.998304067929578	0.999696860170924	0.999336294012577	0.998876234866913	0.999491753146506	0.999410531007327	0.998960639715516	0.999470333097515	0.999234975645971	0.999786522326715	0.999896858736677	0.999741381130323	0.999850754996435	0.999885896552595	0.99989611550559	0.999696090791109	0.999868365836959	0.999884134230059	0.999177781920388	0.999625757775306	0.999520432495565	0.999046242646831	0.998665532219784	0.998672072931385	0.997292097709374	0.999702493361302	0.999299804905318	0.999922186197314	0.999887040537386	0.999607950605677	0.998589968527406	0.996992380399079	0.999324265508914	0.999790628493473	0.997833494179978	0.999710719947338	0.999447497636518	0.999687562106275	0.997878325162742	0.998708151382824	0.999209254753843	0.998182075667836	0.997931664809505	0.991221062187926	0.999268352462773	0.999642744824477	0.998709711396672	0.99876734202528	0.998892563313573	0.998699007696826	0.988246816846229	0.989699217140503	0.987587822014051	0.999813423755212	0.998970470687647	0.998604653889674	0.998951195821691	0.999350833401907	0.997202935615432	0.999642231521258	0.998962322572949	0.999677168474034	0.999804570516567	0.99969312725577	0.999822256006187	0.999570089525213	0.999673391416436	0.997264707729337	0.99941526502253	0.999788337595709	0.999407782019711	0.993056310354918	0.999675052266725	0.999339746521681	0.999682298999964	0.996373038771075	0.999401037276505	0.998410727147821	0.999462640270048	0.999207612703404	0.998840192003251	0.991666666666667	0.99270998415214	0.999557448745044	0.999750780781728	0.999452088040994	0.997619804914329	0.997898715762845	0.999316073164266	0.999203121290216	0.999580886742051	0.999439871254548	0.999658607571667	0.999802480308634	0.99926796254613	0.999629852711828
"1452809393A"	0.999279818834427	1	0.997670151168834	0.990193711184346	0.997303980717908	0.998204781826441	0.99939033872427	0.999050252898799	0.996442194553606	0.980624031476332	0.99964660738772	0.998251173209061	0.990562228727163	0.999600052143978	0.997967534681815	0.983714145177918	0.989582590082055	0.999536664174019	0.999443700511089	0.998564747085162	0.998687991325563	0.992637358495307	0.999642407598123	0.995562110376533	0.999646739789221	0.999514219755819	0.998830006582303	0.999425340559952	0.999573204611143	0.999538783508178	0.999452296032684	0.997710370184675	0.994149980181566	0.997959620182276	0.999592152316358	0.998634860883069	0.999314971417773	0.997507986859781	0.999376122956648	0.993605567086175	0.995964728740099	0.999099867348872	0.994127950953462	0.996701365732015	0.999689422926316	0.992706185803867	0.995250833624905	0.997904520603002	0.999452192656884	0.997807147899097	0.999451175906438	0.999309873204886	0.999735300102431	0.999557653503324	0.999473334048343	0.999696620560483	0.999745435309935	0.999718380889414	0.999600356173796	0.999663606924252	0.999799445332929	0.999554168921829	0.998149367101833	0.999605784267398	0.999172865810565	0.99853038964232	0.99881940375517	0.981555032323358	0.999794889724092	0.99880657302855	0.999500229524218	0.998625730552577	0.999648913657838	0.997410204723561	0.996910013341603	0.999700279973766	0.999712870373683	0.997038616441602	0.99964478177976	0.999248812184266	0.998597815152876	0.997441302843533	0.998540465591476	0.999506173271891	0.99838961054501	0.993071480909998	0.980041760446891	0.99911253390245	0.999643551665255	0.99823089192831	0.998968496195774	0.997117570950627	0.997641467225908	0.987614356087262	0.989699217140503	0.987674418604651	0.999691743595568	0.999370526929589	0.993772639601072	0.999378129949158	0.992512913506979	0.996385677170874	0.99966018639212	0.999445263875532	0.999350576805873	0.999301151666215	0.99899187804757	0.999250305092007	0.999224399315307	0.985739138030178	0.996265455617475	0.999607163357113	0.999607913546878	0.999404328904308	0.990478915360711	0.995068968850105	0.999499350239752	0.999135894716544	0.995153861726896	0.998813363862751	0.997326453362626	0.999561418881816	0.999078035298372	0.992532948815289	0.993229166666667	0.992076069730586	0.999333782590733	0.999717714219753	0.999504209218252	0.996216588890218	0.996957898701678	0.999534132825262	0.999291206918108	0.994805139820911	0.999325577162749	0.999210417803323	0.999625422620036	0.998668635337265	0.999292976681446
"1452809400A"	0.999526332328556	0.997670151168834	1	0.997099205434532	0.99845461243873	0.997657688142249	0.999784244155165	0.999517651126046	0.999822858769072	0.992530765349771	0.998235203683876	0.998587882471986	0.993950195802791	0.998549435102175	0.998743019887721	0.987080958426754	0.994613749114104	0.999364910193191	0.998801316919294	0.997628094031907	0.998253330552205	0.996341969302712	0.998838931625973	0.995442163592261	0.999755508333621	0.999669745996354	0.999814491488433	0.999505914360934	0.999631903417332	0.999631325728775	0.997590645081789	0.996945061392113	0.999447385484917	0.996377235881164	0.997968822337831	0.999496774741601	0.999278329258594	0.99896236603645	0.998762623128651	0.992581644952075	0.996761819359338	0.998641883675758	0.994000518227661	0.997507785243231	0.999754345816445	0.999481562089356	0.998537766181849	0.998905130914641	0.998321424372657	0.998647825220444	0.998609512347015	0.997161842486477	0.999673938711377	0.999785787937319	0.999469234352251	0.999662408966128	0.999859470211765	0.999850161280948	0.999471872399978	0.999785491953667	0.999799749188123	0.999039838760095	0.99946984879564	0.998333470383467	0.998071640961309	0.996806352524946	0.997021319106542	0.996655514879385	0.999223594301674	0.998907524975675	0.999633419547625	0.999699282035861	0.998642169345854	0.996837353582354	0.995263450687435	0.997931034482759	0.999474325351872	0.997503096553487	0.998660831657214	0.999370378927911	0.999699940461373	0.997557958324631	0.998687903196414	0.997770131577005	0.996679166317731	0.997466676616148	0.991412196323946	0.998695461055258	0.999309872700615	0.99811068458574	0.996905040174569	0.998521755156579	0.998081365260089	0.987427602768753	0.989287185826123	0.987453531598513	0.999172259326284	0.996926223724246	0.998083538947529	0.997231287186291	0.999108514373491	0.996247370415376	0.998839950604348	0.99724592121478	0.999287395149353	0.999225247164019	0.999243985661599	0.999283911189399	0.999348081921549	0.998509857192208	0.996652840298077	0.998343499411403	0.999475019860098	0.998062534099494	0.992504556198002	0.999622932585856	0.997255224166214	0.999299672290326	0.993479268863428	0.998448624958869	0.996394230769231	0.997581365606868	0.998655661884819	0.999275502111333	0.992708333333333	0.99175911251981	0.999131812857438	0.999425597224076	0.99831953105654	0.994718214636574	0.99689363334313	0.997484915892736	0.997921655913373	0.999356491183506	0.997814725198092	0.999369834980787	0.999374290131688	0.998855410535457	0.998453668404264
"1452809675B"	0.997806865012433	0.990193711184346	0.997099205434532	1	0.996745149147586	0.993243436685848	0.997339933835476	0.998900255810062	0.996911531814508	0.991015236833388	0.990525573990134	0.997139907117776	0.993284102802651	0.991977926189056	0.997456356606184	0.987038143186279	0.994588093806374	0.996237766219879	0.994209945423576	0.990574147755369	0.990634714516192	0.993132124836479	0.991771185445243	0.990147712365005	0.997607795847864	0.997624785676567	0.997831716897834	0.997662287438706	0.997661591421778	0.997545040241317	0.989053405715902	0.989653030437483	0.997321107711072	0.988438738414175	0.990077570613608	0.997656107179233	0.996650921648964	0.997500092629523	0.995135985653878	0.985549890594322	0.993863421797965	0.994806146060495	0.991428503776668	0.99496022315407	0.997553010841642	0.997007297185058	0.997190744684372	0.997498976157052	0.992131749078842	0.995711085078023	0.995358300316221	0.987756723542932	0.996929976078582	0.997933691261752	0.997524962428582	0.997622602229191	0.997812196515592	0.997933861853354	0.997194844084255	0.99789171683801	0.997179769080014	0.995911107610722	0.997519593607285	0.990736367376167	0.991411547422485	0.98831636521174	0.989688298460427	0.99590607273207	0.995849753888605	0.996768160460614	0.995464479790005	0.997722663060883	0.992790677064871	0.990044228071203	0.986337513163161	0.990108274586445	0.996749529940441	0.997749837617148	0.991292132151614	0.998910523167212	0.997688419897873	0.994110230886476	0.995993350667064	0.990361529780346	0.988704885328271	0.995485152420127	0.988939076487715	0.996706740205047	0.996657387673438	0.997514511412735	0.988550609768281	0.993202035306546	0.996208491494754	0.986297828335057	0.988393563703508	0.982815734989648	0.992647914645975	0.988918085983484	0.997418587521371	0.988578862724075	0.997478490594934	0.990531725637478	0.993633690328081	0.988449807025406	0.996566393991518	0.997520437276894	0.996905544923064	0.997270730392006	0.996749707802015	0.996705970428598	0.99061064638097	0.990617632259525	0.997108321995564	0.994987945692171	0.988448059823505	0.997588709549345	0.988588428675479	0.996677201810857	0.9853294543416	0.995429506891136	0.99006814098555	0.989263780157275	0.99120993566563	0.996443440331651	0.993767313019391	0.992356115107913	0.995508237830228	0.996324780965008	0.990532510732664	0.986415825331827	0.986930873989526	0.98861908521982	0.991672743627924	0.998279189602883	0.989559850292193	0.997599656906292	0.996344747561169	0.995699466521695	0.9902124078441
"1452809706B"	0.998802241605844	0.997303980717908	0.99845461243873	0.996745149147586	1	0.996861059555208	0.998722210857378	0.998676688812768	0.998148240828787	0.990963051887422	0.997950195036294	0.997988045293617	0.993917674078187	0.997850963771183	0.997895560000082	0.986826795495526	0.995793826192343	0.998570694933139	0.997808888253301	0.997818722910173	0.99804125961495	0.995999796815077	0.999321041454994	0.995279599529012	0.999055899376112	0.998928135880626	0.998786220134891	0.998798670042795	0.998849149333774	0.998774268125814	0.997424394490864	0.997609568531373	0.997535024957872	0.995949457690947	0.99769950283142	0.998572974201891	0.998356570582512	0.998023781471176	0.997857719758532	0.993449327981978	0.997260000996363	0.999350011097372	0.994131079240446	0.996974314561659	0.999093482472478	0.997162920066469	0.997215062915105	0.998276939709783	0.998043836310655	0.997349064161387	0.998101136247313	0.997198094416723	0.998922535612849	0.999119599417735	0.998874449294896	0.999055772378195	0.99907983275136	0.999021948163253	0.998808417172445	0.999077996285843	0.999015685083182	0.998283024036645	0.998705285273814	0.997948677588218	0.997126867661814	0.996538564685053	0.996323982503813	0.992297789680578	0.998783698630806	0.997919758489034	0.999333174655348	0.999674138741114	0.997988202769344	0.996580677025949	0.995697688391063	0.997755485039784	0.998844669682953	0.997743065866841	0.99858051458022	0.998499574459143	0.998667599277884	0.997732830237567	0.998853106624675	0.997439481176139	0.996471119362704	0.996142891051507	0.988432746865017	0.997830610112196	0.99854756938939	0.997299120125732	0.996689692996775	0.99857375397256	0.997252504046944	0.988561624249357	0.989699217140503	0.987603789030523	0.999844886563094	0.996941412772045	0.998044363321738	0.997206442491056	0.998274126276427	0.996376657032858	0.99830935230079	0.997247779036833	0.998423215234739	0.998734561704274	0.998607457998799	0.998775125528478	0.99854567835922	0.996723507806163	0.99587402054913	0.998038492224924	0.998983889211971	0.99769411720951	0.992471538346681	0.998570906013312	0.997176823760417	0.998832089985172	0.99338703873388	0.997665180575348	0.995878415053374	0.997409642414883	0.997851253920426	0.996578273995803	0.991666666666667	0.992076069730586	0.998340427526321	0.998914609514878	0.997830466609735	0.99410634726414	0.995804098931057	0.997484988461957	0.997797383931977	0.999168627852246	0.997332968682476	0.99866054206604	0.998642716199197	0.997642603882058	0.997672225636244
"1452809712A"	0.999602772824882	0.998204781826441	0.997657688142249	0.993243436685848	0.996861059555208	1	0.999322455587609	0.999847611659093	0.996544244162441	0.981751743499476	0.999517157654923	0.996921511104585	0.992425963796107	0.998912817513485	0.996583189170444	0.98412547850537	0.991225567127978	0.999563962111175	0.998032446847915	0.996812273310956	0.999123334288911	0.992803851388819	0.998847068431292	0.994616101845945	0.999538339521688	0.999535549716438	0.99825367455978	0.998858985685817	0.99912170391421	0.998537935824864	0.999695524005164	0.996510592385813	0.992967366343568	0.995935462367351	0.999360623920374	0.997923848440936	0.998478932321401	0.996229700783741	0.997674663257893	0.991865321037063	0.996260284218399	0.998856107907154	0.993087098573592	0.996481874110199	0.999239390394359	0.991453114417378	0.994470640153566	0.997563581917698	0.99916939027836	0.995804464540316	0.999176958924342	0.999710611891763	0.999630643399499	0.999562733870753	0.99934625008654	0.999532840614876	0.999232544833981	0.999278134700065	0.99964265294454	0.99921171461491	0.999690480907896	0.998448263039515	0.996764161021189	0.999494963444034	0.997202469994954	0.996014297220871	0.99657168872042	0.980153548142168	0.998760959350772	0.997350217817614	0.999356820329728	0.998814513415119	0.999016293490252	0.99731081661094	0.99479982820861	0.999544732979902	0.999357397841679	0.996758798965997	0.999275948606965	0.997548758174225	0.997700723083654	0.997004776167732	0.998620993987534	0.998744524760706	0.997221357829074	0.991652079005368	0.980337159048628	0.997423183658108	0.999308298632651	0.995867892956458	0.997015486693126	0.996255654310843	0.995841297482213	0.988698927847001	0.990719736028047	0.986905179469192	0.99910452621296	0.997556150005554	0.993808972814353	0.999237835729906	0.992750659875832	0.994037499165944	0.99955659576149	0.998547095127294	0.998458200609263	0.998703956343793	0.998490384693373	0.999240092087765	0.998318983231029	0.985179296268834	0.995042279291931	0.99913242254956	0.999112484969083	0.998748227323522	0.98935092927291	0.994272717210056	0.998328481943987	0.997853605327281	0.992762899162987	0.997247208273528	0.995420047414328	0.999686459530884	0.998167485678693	0.990910561963984	0.992708333333333	0.991119568664764	0.998196730607637	0.999139397533683	0.998816013517514	0.993474871597356	0.995418304648611	0.999377075592025	0.998760459250849	0.995148727019167	0.998177689905758	0.997937242406122	0.999408130139628	0.997452831534353	0.999031251559828
"1452809718A"	0.999534922863635	0.99939033872427	0.999784244155165	0.997339933835476	0.998722210857378	0.999322455587609	1	0.99955575182393	0.999602111207521	0.992772090162134	0.999612578459362	0.998680220048277	0.994232987312572	0.999567450759384	0.998731194815511	0.987934294731601	0.994684620836287	0.999742204283575	0.999680091027072	0.9986015454857	0.999262225589408	0.996531835488371	0.999633011781752	0.996598917759755	0.9997589933203	0.999737799596736	0.999792257190813	0.999482628528162	0.999660255530089	0.999731584630748	0.999364983448289	0.997771220361196	0.999471664219969	0.998177188690889	0.999534230158336	0.999469465798347	0.999361922154503	0.999111457070403	0.999511224166916	0.993713160260893	0.997060728341553	0.998957724681395	0.994506041363935	0.998075186239825	0.99979449313071	0.999541423712342	0.998555274998348	0.99898437150491	0.999504278390111	0.999435228783182	0.999490653866204	0.999269108745791	0.999814561493996	0.999727857903691	0.999546161090121	0.999812309877258	0.999907852833224	0.999900703879975	0.999702197954275	0.999840254329152	0.999867123852649	0.999576985507506	0.999681820612026	0.999632166067803	0.999550805709487	0.998871089850528	0.999166565564388	0.996173375070864	0.999627832976092	0.999109533047361	0.999888902056053	0.999796050941942	0.999688819306775	0.998494966389225	0.997033842382053	0.999579727927257	0.99979880948108	0.99790774332353	0.999724927954261	0.999394931896954	0.999702018249768	0.997763079547466	0.998653272184611	0.999434217401743	0.998462120357794	0.997642489251052	0.991287765818037	0.998895247293946	0.999575636766334	0.998254303639008	0.99882429512276	0.998832647593532	0.998435349552186	0.987958555026603	0.990523279769262	0.987785016286645	0.999683631584925	0.999026099446672	0.998401842581494	0.999252893727624	0.999308456070931	0.996958236350509	0.999733694947562	0.999241957438217	0.999571452148073	0.999315163791499	0.999363666761453	0.999485888392418	0.999457472145716	0.998487367991131	0.997769792069528	0.999680814067048	0.999670633594405	0.999456629621736	0.992977325960951	0.999781622220197	0.999402721607716	0.999565703836483	0.99559523366424	0.999121228068963	0.997700506750411	0.999510023645896	0.999607250040869	0.999243794077051	0.9921875	0.992707672796449	0.999636870571665	0.999737016637103	0.999639650515876	0.996717663581086	0.998565440870415	0.999494269707019	0.999183525684544	0.999470805391858	0.999490427584357	0.999452134157861	0.99966079334976	0.999170464793081	0.99968350382117
"1452809728A"	0.999829439456751	0.999050252898799	0.999517651126046	0.998900255810062	0.998676688812768	0.999847611659093	0.99955575182393	1	0.999396985117324	0.992186301369863	0.999567408673717	0.998833503239411	0.994408505090016	0.999428093241387	0.999006546740316	0.987785838301996	0.99553508150248	0.999631551100021	0.999029086621265	0.998284050526409	0.999330527926549	0.996130556044121	0.999613271011081	0.996503308998282	0.999744414722755	0.999752260621826	0.999737373190951	0.999653712291899	0.999727261049887	0.999552983877144	0.999293573096733	0.997488361207927	0.999294763333381	0.997737152650701	0.999225237707192	0.999475145936117	0.999481262478544	0.999014032447808	0.99914389467782	0.993770139634801	0.997010910177851	0.999005069408253	0.994426973448509	0.998200036276547	0.999648420935862	0.99926816029729	0.99870184027924	0.999334574065524	0.999372127663195	0.998647949203777	0.999416404310654	0.999440204982176	0.999796256141577	0.999825483415281	0.999720379689429	0.999770952231394	0.99977055502307	0.999792635524398	0.999755727444549	0.999763276117728	0.99981923558274	0.999105757415397	0.999574088425495	0.999550005920975	0.998786832220824	0.998254379437485	0.998367242864931	0.996942588028584	0.9995947232738	0.999092694798706	0.99986868485104	0.999947378707921	0.99957865780718	0.998737630369356	0.996710885498258	0.999398328154499	0.999713587304828	0.99752664742948	0.999741488076941	0.999317042418421	0.999658783332027	0.997784022480931	0.998708033845874	0.999085742984138	0.997956280610775	0.99759894673131	0.991334661354582	0.999110759539289	0.999560215131785	0.998428101865481	0.998729072321931	0.998738401899279	0.998445212613401	0.988101903695409	0.989699217140503	0.987454988965037	0.999675519574282	0.998845939205016	0.998483686456803	0.999209376238083	0.999259990133202	0.996865676688698	0.999633814834704	0.999015309754795	0.999471999049964	0.999554790909443	0.999549051902374	0.999727611092732	0.99933086295169	0.999607946204411	0.997057094813884	0.999387036003015	0.999697327753299	0.999415024827222	0.992730334918632	0.999652553217839	0.999261642607608	0.999535414419966	0.995295235630636	0.9989433785053	0.997468136105927	0.999634050143263	0.999146999697788	0.998621044365754	0.992708333333333	0.99175911251981	0.999402043243233	0.999614250652988	0.999436684633013	0.99648273904905	0.997506861206896	0.999374392379696	0.999139826140069	0.999496409271148	0.999192865188937	0.999419368777344	0.999681568258438	0.998880114106533	0.999560093997979
"1452809776A"	0.999429108899644	0.996442194553606	0.999822858769072	0.996911531814508	0.998148240828787	0.996544244162441	0.999602111207521	0.999396985117324	1	0.992260146892531	0.997161495466781	0.998429963039529	0.993802018771029	0.997584914260111	0.998696224098011	0.986494286044096	0.994897236002835	0.998888908012675	0.997940006745954	0.996706976848202	0.997563200488457	0.99626404139846	0.998407628083129	0.994484109071721	0.999552090024187	0.999492011862623	0.999611440267772	0.999387367518226	0.999440993729366	0.999299835730691	0.996398119891426	0.996119104226756	0.999112513757042	0.994931223296419	0.9968382037481	0.999302684855933	0.998821356860125	0.998711294973048	0.997987904364922	0.991810861991702	0.996712001195636	0.998275507459617	0.993585146226791	0.996933697105972	0.999521759462365	0.998963421006242	0.99831115779398	0.998855611802477	0.997409354189705	0.997875892571778	0.997807431181582	0.995863034253068	0.999339069650059	0.999673264563303	0.999335017318254	0.999483498639181	0.999685919783913	0.999688090791334	0.999096014402352	0.99963796432512	0.999488825068704	0.9982791269651	0.999177337434723	0.997251672385573	0.996806930574858	0.995362470413387	0.995469549889616	0.996374214123403	0.998626275601227	0.998524889515414	0.999147605665258	0.999586254626426	0.997801695135038	0.99576190378014	0.99412718947001	0.996820468031743	0.999172655614632	0.997460379958657	0.997555199932229	0.999196686107325	0.999398121469135	0.997346157557822	0.998336136912163	0.996583696533206	0.995282217163073	0.997043540815957	0.99088405397962	0.998351964930913	0.999049025154726	0.997819330989406	0.995517505872411	0.997865445742879	0.997687983558994	0.987713599774043	0.990111248454882	0.98757114647462	0.999002222690916	0.995637244137486	0.997841472045293	0.995929661646551	0.998872064490288	0.995741461248874	0.997955587629774	0.995890216331002	0.998834395830142	0.999077597702079	0.999020726147899	0.999025945719522	0.999019197381403	0.998478793462515	0.995823549271224	0.997163356572978	0.999187090425494	0.996994262932902	0.991904852844442	0.999497743308728	0.995922866529387	0.999061821176459	0.992194564751797	0.997755638274578	0.995297504467198	0.99635395887865	0.997556970944255	0.998426362533667	0.9921875	0.99175911251981	0.998575407903152	0.998987694157097	0.99727451712616	0.993303436032852	0.995519111952746	0.996139981832959	0.996904275238783	0.999330440383768	0.996661277051626	0.999232278925035	0.99893375634444	0.998323543223732	0.997285546157704
"1452809907A"	0.992522667719194	0.980624031476332	0.992530765349771	0.991015236833388	0.990963051887422	0.981751743499476	0.992772090162134	0.992186301369863	0.992260146892531	1	0.980764382870985	0.9917395369301	0.988293778062861	0.982806829022248	0.992831974006301	0.985856140586824	0.995325542570952	0.989358087743717	0.985844498133099	0.987439274433382	0.983772458891499	0.992654325054351	0.985999626656711	0.983422543890386	0.992096990481215	0.991878150243215	0.993103600960847	0.992065500885891	0.991978140157584	0.993007759414318	0.97979842484992	0.985316706581881	0.993540179207932	0.979843581801006	0.980257171985135	0.992992399279469	0.989966923925028	0.992972207275962	0.986749813686379	0.982283685892803	0.993079584775086	0.985052586082697	0.991417207452376	0.9889273122543	0.993409654143913	0.993289328932893	0.992974835728611	0.992949276721579	0.982473073463926	0.989769820971867	0.986549623234083	0.979568310570462	0.989843638244259	0.992818533665179	0.991413670052155	0.991338946165175	0.992465016146394	0.992688852974482	0.990879857765291	0.992603972347196	0.99022192924632	0.987491214197856	0.992629950140409	0.981697226088577	0.982542657066772	0.979738154613466	0.979770971453619	0.992808204137204	0.988738104623008	0.989581845156327	0.98916797682566	0.993426656297448	0.984931173910162	0.983717791115289	0.980849086738101	0.980689549056459	0.98924873758301	0.992710444330178	0.983336648840938	0.993482257869183	0.99328152913712	0.99110573286946	0.991196048958557	0.980869681682218	0.978758845558614	0.991129454164971	0.986359126984127	0.987355529636306	0.989185268225131	0.9917424250732	0.980328922579072	0.989182735146309	0.990210868248637	0.987398072646405	0.988227303599729	0.98490294751977	0.985106668455655	0.980632008154944	0.991267156994327	0.979048871356564	0.993661281654074	0.988156837311602	0.984048555495908	0.979222600900792	0.989589173620043	0.991363871095338	0.991079481707988	0.990957910174556	0.990116304780436	0.992498107320654	0.98554262955379	0.982485625829279	0.991583434969399	0.983366284142745	0.989165721437791	0.994239004424255	0.979751293056014	0.991493351709802	0.977524770475411	0.98869166905239	0.98219772992709	0.979743061340816	0.984317999822048	0.992702093751717	0.988399071925754	0.993962503972037	0.98982462309349	0.99073194441376	0.982173669344646	0.97824401267253	0.978801036646358	0.979494542106878	0.983588201069237	0.991516790782633	0.980740593666236	0.992483015559939	0.988715773744121	0.988328304961572	0.981020374540063
