,name,Matchgene,Exist
1,DYBA,AAC_6___Ib.,0
2,DYG1,AAC_6___Ib.,0
3,DYG2,AAC_6___Ib.,0
4,DYG3,AAC_6___Ib.,0
5,DYS2A,AAC_6___Ib.,0
6,DYT1,AAC_6___Ib.,0
7,DYW1A,AAC_6___Ib.,0
8,FAQHA,AAC_6___Ib.,0
9,FAQHYA,AAC_6___Ib.,0
10,HYBA,AAC_6___Ib.,0
11,HYG2,AAC_6___Ib.,0
12,HYG3,AAC_6___Ib.,0
13,HYHNGS,AAC_6___Ib.,0
14,HYLY1,AAC_6___Ib.,0
15,HYLY2,AAC_6___Ib.,0
16,HYLY3,AAC_6___Ib.,0
17,HYSZGW,AAC_6___Ib.,0
18,HYT1,AAC_6___Ib.,0
19,HYY1,AAC_6___Ib.,0
20,HYY2,AAC_6___Ib.,0
21,HYYLWS,AAC_6___Ib.,0
22,HYYLWW,AAC_6___Ib.,0
23,LRDYA,AAC_6___Ib.,0
24,LRDYYA,AAC_6___Ib.,0
25,LRHYA,AAC_6___Ib.,0
26,LRHYYA,AAC_6___Ib.,0
27,LRLSA,AAC_6___Ib.,0
28,LRLSYA,AAC_6___Ib.,0
29,LRQHA,AAC_6___Ib.,0
30,LRQHWA,AAC_6___Ib.,0
31,LRQHYWA,AAC_6___Ib.,0
32,LSBA,AAC_6___Ib.,0
33,LSDG1,AAC_6___Ib.,0
34,LSDG2,AAC_6___Ib.,0
35,LSDG3,AAC_6___Ib.,0
36,LSGG1,AAC_6___Ib.,0
37,LSGG2,AAC_6___Ib.,0
38,LSGG3,AAC_6___Ib.,0
39,LSGLB1,AAC_6___Ib.,0
40,LSGY1,AAC_6___Ib.,0
41,LSGY2,AAC_6___Ib.,0
42,LSGY3,AAC_6___Ib.,0
43,LSSA,AAC_6___Ib.,0
44,LSWA,AAC_6___Ib.,0
45,PCQHA,AAC_6___Ib.,0
46,QHBA,AAC_6___Ib.,0
47,QHDG1,AAC_6___Ib.,0
48,QHDG2,AAC_6___Ib.,0
49,QHDG3,AAC_6___Ib.,0
50,QHDT1,AAC_6___Ib.,0
51,QHDW1,AAC_6___Ib.,0
52,QHDW2,AAC_6___Ib.,0
53,QHDW3,AAC_6___Ib.,0
54,QHDYW1,AAC_6___Ib.,0
55,QHDYW2,AAC_6___Ib.,0
56,QHDYW3,AAC_6___Ib.,0
57,QHLW,AAC_6___Ib.,0
58,QHMG1,AAC_6___Ib.,0
59,QHMG2,AAC_6___Ib.,0
60,QHMW1,AAC_6___Ib.,1
61,QHPA,AAC_6___Ib.,0
62,QHPDA,AAC_6___Ib.,0
63,QHWS,AAC_6___Ib.,0
64,QHWW,AAC_6___Ib.,0
65,QHW,AAC_6___Ib.,0
66,QHYWS,AAC_6___Ib.,0
67,TFQHA,AAC_6___Ib.,0
68,DYBA,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
69,DYG1,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
70,DYG2,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
71,DYG3,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
72,DYS2A,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
73,DYT1,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
74,DYW1A,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
75,FAQHA,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
76,FAQHYA,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
77,HYBA,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
78,HYG2,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
79,HYG3,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
80,HYHNGS,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
81,HYLY1,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
82,HYLY2,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
83,HYLY3,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
84,HYSZGW,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
85,HYT1,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
86,HYY1,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
87,HYY2,AAC_6___Ie_APH_2____Ia_bifunctional_protein,0
