Family,Genus,Species,Virus name(s),Genome composition,Host source
Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus SBFV2,Sulfolobales Beppu filamentous virus 2,dsDNA,archaea
Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus SFV1,Sulfolobus filamentous virus 1,dsDNA,archaea
Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 3,Acidianus filamentous virus 3,dsDNA,archaea
Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 6,Acidianus filamentous virus 6,dsDNA,archaea
Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 7,Acidianus filamentous virus 7,dsDNA,archaea
Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 8,Acidianus filamentous virus 8,dsDNA,archaea
Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 9,Acidianus filamentous virus 9,dsDNA,archaea
Lipothrixviridae,Betalipothrixvirus,Sulfolobus islandicus filamentous virus,Sulfolobus islandicus filamentous virus,dsDNA,archaea
Lipothrixviridae,Deltalipothrixvirus,Acidianus filamentous virus 2,Acidianus filamentous virus 2,dsDNA,archaea
Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus SBFV3,Sulfolobales Beppu filamentous virus 3,dsDNA,archaea
Rudiviridae,Azorudivirus,Azorudivirus SRV,Stygiolobus rod-shaped virus,dsDNA,archaea
Rudiviridae,Hoswirudivirus,Hoswirudivirus ARV2,Acidianus rod-shaped virus 2,dsDNA,archaea
Rudiviridae,Hoswirudivirus,Hoswirudivirus ARV3,Acidianus rod-shaped virus 3,dsDNA,archaea
Rudiviridae,Hoswirudivirus,Hoswirudivirus MRV1,Metallosphaera rod-shaped virus 1,dsDNA,archaea
Rudiviridae,Hoswirudivirus,Hoswirudivirus SSRV1,Saccharolobus solfataricus rod-shaped virus 1,dsDNA,archaea
Rudiviridae,Icerudivirus,Icerudivirus SIRV1,Sulfolobus islandicus rod-shaped virus 1,dsDNA,archaea
Rudiviridae,Icerudivirus,Icerudivirus SIRV2,Sulfolobus islandicus rod-shaped virus 2,dsDNA,archaea
Rudiviridae,Icerudivirus,Icerudivirus SIRV3,Sulfolobus islandicus rod-shaped virus 3,dsDNA,archaea
Rudiviridae,Itarudivirus,Itarudivirus ARV1,Acidianus rod-shaped virus 1,dsDNA,archaea
Rudiviridae,Japarudivirus,Japarudivirus SBRV1,Sulfolobales Beppu rod-shaped virus 1,dsDNA,archaea
Rudiviridae,Mexirudivirus,Mexirudivirus SMRV1,Sulfolobales Mexican rod-shaped virus 1,dsDNA,archaea
Rudiviridae,Usarudivirus,Usarudivirus SIRV4,Sulfolobus islandicus rod-shaped virus 4,dsDNA,archaea
