,VFcategory,CM,DYG1,DYG2,DYG3,DYT1,HYG1,HYG2,HYG3,HYLY1,HYLY2,HYLY3,HYT1,HYY1,HYY2,HYY3,LRDYA,LRDYYA,LRHYA,LRHYYA,LRLSA,LRLSYA,LRQHWA,LRQHYWA,LSDG1,LSDG2,LSDG3,LSGG1,LSGG2,LSGG3,LSGLB1,LSGY1,LSGY2,LSGY3,QHBA,QHDG1,QHDG2,QHDG3,QHDT1,QHDW1,QHDW2,QHDW3,QHDYW1,QHDYW2,QHDYW3,QHMG1,QHMG2,QHMW1,QHMW2,QHMW3,QHMYW1,QHMYW2,QHMYW3
1,Adherence,47009.6561675699,34659.116055863,23273.4519745116,35720.5535857142,43735.7643284308,5383.47686155637,1011.5986676717,41509.6791024529,27892.043034543,40522.013158347,1302.82178460161,21713.2826909491,28755.1312857266,23360.4123982226,1421.86381331224,26637.7618524087,2158.53917171904,228.564147200778,12647.001029304,3502.40806371548,2192.64253299689,57658.3730329504,31086.5470460656,12.1159844083368,283.414752294379,17033.5455090405,49076.8429428746,24.684949644109,22.6164244667078,66346.1369288771,33316.2089803782,6456.66425026324,29022.7678922666,29.9793597438405,32184.3612725066,36828.4841281864,49.4861995727894,34139.4194400237,150.477095579085,371.047907853493,13260.8000209092,21481.0254579399,45631.3701003209,31876.6777638091,8172.2320733342,5357.10644661384,15966.1930858981,61780.8132940013,10573.2704998425,32482.1032416259,9879.91731750921,12538.8687835995
2,Antimicrobial activity/Competitive advantage,543.646146462098,20.7045354519582,36.8093538877595,77.9747345436033,37.0300295738421,10.3340013255694,1.16349541850651,90.5174926883351,55.4015936699773,64.1577854391567,1.00464781733587,41.1756185019451,74.1869929198555,68.0661333052564,2.16912862442752,52.6216190360378,0.752441322744549,0.315405906900797,33.5530397849577,12.7700899476848,0,147.918728702442,17.1817277926639,0,0.232629863608216,31.4513591076256,9.16376007669469,0.0661794896624907,0.0147626791558145,58.0434623821893,65.9511704395482,4.02835940532844,52.3014508581853,0.0780035379284663,133.586542445502,142.876211141012,0.0314530929488068,52.3176362954131,0.828409288656507,0.0273372067968388,18.837332930588,48.6523696139467,25.5934300588293,40.0113819850916,32.0982224264938,25.2498256850791,16.1129140485391,67.4328511136549,13.143894821608,76.7617057641191,26.9747204930575,29.5054422535333
3,Biofilm,2329.22445452422,1043.68817574341,456.037998268668,1999.61962542659,944.825885123211,87.2179467514907,18.518968744562,1527.29043791382,1304.52048374676,651.964885129103,51.2095140863941,885.643349730364,2543.68146634824,1412.67772187664,39.6059646156632,455.03983930405,102.117036658189,8.83136539322233,2695.25546252091,166.709306355767,10.1814847851297,2582.31982354155,1983.80699826366,0.276505868240052,11.7835973220008,491.867196539692,646.543838676752,0.761064131118643,0.383829658051177,1509.99686881803,910.445231937299,273.842729787753,873.584616890073,1.6120731171883,886.805832636618,1054.96805439219,0.660514951924943,589.10218348215,6.92066926565124,1.61289520101349,794.445389527613,782.503797962704,836.241366610125,1580.88598553467,454.831899796091,299.866992142787,345.897289668953,2655.48677283635,1165.67750190098,1796.28670564175,568.635434000549,393.203573681181
4,Effector delivery system,25351.0652070539,27070.9297149749,24692.7953852331,27588.3770379023,27278.2257640643,16115.7021935973,457.435495632202,34197.6344042923,67753.2988156211,53006.0680292268,1302.93188299255,61990.643460633,127852.943399585,33587.5533662537,1212.65910437415,27642.1614187866,3038.89551933016,167.375401262023,20321.613629348,1109.92153085162,2488.95634998191,50935.7540991215,61585.1024158074,13.0460496015079,547.565962421509,24823.0927841662,13028.2334117954,42.0736105529285,17.5675881954193,64701.698156568,13096.6213316146,2987.75703213498,69060.3318765492,33.6455260264785,81488.9889773388,84123.7007709421,49.5805588516358,58816.5784884841,180.541449346578,252.841825663962,20308.2267388766,11948.8284411003,50540.5638886972,81622.6831045493,21557.0059985654,11088.6299567639,45260.2284866774,29025.8444597892,6825.55838858497,35185.1028119515,14600.848030014,2205.35477579809
5,Exotoxin,7582.78385579518,713.727989408119,2355.30823467309,5371.80777556315,1953.64481762434,363.559642669442,53.9571000332396,3457.59566351812,1928.82544282434,2570.30914477451,65.4534934143753,1188.48654432049,2105.22677685468,1784.02537974938,53.0661824190304,1164.80821739203,253.357742529843,13.1419127875332,2133.71523001727,357.213450017243,381.244067292295,4710.2828414542,2090.71029639281,0.477601045141908,18.9324919767302,1479.00053309979,528.013461603453,0.876878238028002,0.664320562011652,2696.12563139275,2016.99263454498,540.779700594942,2406.98500593626,2.80812736542479,2361.05014186703,2164.3413835968,3.86873043270324,912.510401901625,5.7125723863605,13.8599638459973,732.753641121017,730.989045914509,1990.1820383888,2225.47570824401,1356.94421190762,656.386430933713,549.796367366258,2139.92647852189,357.296450240618,3110.36890528432,673.643341355775,570.753274952348
6,Immune modulation,17319.6652916924,6142.77146559981,6523.39462670765,9459.98165276211,7851.3177250352,1453.91843432939,157.714227927347,11076.4639016999,8169.44469267429,9776.34040020603,347.883390775563,5077.96036353219,9626.85482642473,19441.9581465339,267.945486776382,5523.72377111561,387.077314743303,42.7900680362082,3158.54551185936,849.545505517392,439.253167438177,12017.6729252784,4366.32422777077,8.25747070153247,112.959693386682,4126.56970890958,4831.84187707216,4.05349374182756,3.49875495992804,15412.6081034288,10718.3367177192,937.95879600541,8846.79234070767,5.66825708946855,9946.99429766032,9236.33094446722,9.42544352032578,13188.8499795045,14.1347334877017,72.8263189067785,3694.7536538998,4040.25280594186,15963.1417690139,15980.7068083568,4387.45823259513,4116.2356176658,2532.96019057082,7730.61990375419,2388.39068169093,6512.22964956062,1880.59055225949,2338.52829191994
7,Invasion,686.43810820027,1075.02990372115,1304.55820801389,1495.61462986369,943.767007360843,203.965270277161,42.0070325056623,1501.50064254572,1119.12746129119,1086.54342517942,38.892256599879,1506.23764553795,4241.04983277189,1733.79594059931,39.3929251971927,1566.37850635804,53.315842297328,6.72865934721701,447.029730058052,23.4457687877767,89.2782153400699,628.287138535577,740.838443838204,0.201095176901856,18.3330227128167,1413.42615625341,994.287918452164,0.645250024209285,0.236202866493032,1712.30985921555,1210.51226150174,347.602112941851,1348.78359409015,0.234010613785399,1948.8316817096,2718.17524638663,0.503249487180909,2106.5158147863,1.1390627719027,23.9200559472339,523.692329820567,1081.17551508633,1641.69488994097,2839.13110913814,347.685269738473,128.19621553868,1017.159268503,1261.97953881737,301.805258793518,916.573868343157,225.958576065023,444.807187161552
8,Motility,1493.32993693334,814.470491348673,1265.48540423296,1429.17620794471,1150.53974605871,305.947905415742,35.0987784582799,1322.32252243555,1613.11015983411,1918.05303448454,91.2715660900204,1359.17766458028,941.329690545139,1381.56452398135,43.4600413679943,2825.80588139117,85.025869470134,12.7213715783322,1136.67374779195,140.121920906601,92.1043926113871,3080.81618356496,2265.96391987798,0.201095176901856,11.0320239164973,1741.49099360869,771.458257603191,0.264717958649963,0.383829658051177,2148.12720830818,1399.45312828845,264.684028161048,812.915448040077,1.35206132409342,2485.24882799845,2840.60741951964,2.31704451389544,1731.1476609141,4.19382202382357,10.4701502031893,606.413241334088,685.621910685325,1331.78128841492,1403.27235624903,397.711673980916,418.779496325325,572.185236181351,1153.21330478849,273.547460933634,1250.44947125398,300.075455979357,329.572979929847
9,Nutritional/Metabolic factor,13836.2572363251,2267.06892522584,3040.75631065627,9612.76475541367,3891.48319908579,831.547762179056,98.9455895488248,6030.89206723994,4739.34294549711,4596.78618914977,239.271328112348,4312.22715823239,6186.13383691592,4475.47092817038,118.934097166155,3164.23022751393,161.667392772543,23.6554430175598,2329.44129542953,1193.37799568057,468.601931409547,13233.9826643348,2474.45124150458,1.63389831232758,38.9655021543762,2057.66695005543,1569.80929151273,1.81993596571849,1.60913202798378,6725.32065132314,4303.25989150301,770.175790135454,6675.6651554945,6.42229128944372,5177.65521096028,4775.48130045802,6.30110295407763,5284.71890646933,7.43842507106155,77.5693242860301,1969.23534757909,2966.36335523362,6271.01748036006,4479.17384189259,2575.91095384537,2004.82992871652,2240.88205425208,5785.72840716274,574.265275191551,5213.20296201717,1269.90878342924,1175.93518595139
10,Others,2309.724774356,800.552346582803,590.618956500369,3180.56375946272,1193.46266057095,210.662522685182,26.3846825634238,1553.48349190041,1325.74461287895,1007.78908167749,118.342007962618,898.042101790579,1764.36831392614,3300.91403533097,49.5413484043357,490.004535933683,78.5763724180379,2.20784134830558,513.791675886583,68.3301623852201,159.135520200319,1234.97217426456,660.107859826098,0.402190353803712,14.6019975926388,621.531695437387,451.963563027923,0.810698748365511,0.620032524544209,4340.50896581997,1209.70856408096,243.623912121033,1668.24789972528,0.754034199975174,1260.96796004227,1507.17346717518,1.77185756944945,948.529321539014,2.65781313443963,10.2514525488145,582.509885826119,615.940788301586,919.64778754618,1985.54456971515,1084.82662458041,507.021484299398,390.599261245621,1902.97907164115,214.289613776264,1571.98098130629,512.558235696319,317.624680838226
