,Sample,bacterium,Relative_abundance,Sort3
1,123163127A,Escherichia_coli,1.31004,Environment control
2,123163127A,Unclassified,0,Environment control
3,123163127A,Others,0.363759999999999,Environment control
4,123163127A,Clostridium_perfringens,0,Environment control
5,123163127A,Microcystis_aeruginosa,0,Environment control
6,123163127A,Saccharomyces_cerevisiae,0,Environment control
7,123163127A,Exiguobacterium_undae,0,Environment control
8,123163127A,Bradyrhizobium_viridifuturi,96.55577,Environment control
9,123163127A,Catellicoccus_marimammalium,1.77043,Environment control
10,123163898A,Others,0,Environment control
11,123163898A,Unclassified,0,Environment control
12,123163898A,Catellicoccus_marimammalium,0,Environment control
13,123163898A,Escherichia_coli,1.40604,Environment control
14,123163898A,Clostridium_perfringens,0,Environment control
15,123163898A,Bradyrhizobium_viridifuturi,98.59396,Environment control
16,123163898A,Microcystis_aeruginosa,0,Environment control
17,123163898A,Exiguobacterium_undae,0,Environment control
18,123163898A,Saccharomyces_cerevisiae,0,Environment control
19,123164295A,Bradyrhizobium_viridifuturi,95.85221,Environment control
20,123164295A,Exiguobacterium_undae,0,Environment control
21,123164295A,Microcystis_aeruginosa,0,Environment control
22,123164295A,Others,0,Environment control
23,123164295A,Escherichia_coli,0,Environment control
24,123164295A,Catellicoccus_marimammalium,4.14779,Environment control
25,123164295A,Saccharomyces_cerevisiae,0,Environment control
26,123164295A,Unclassified,0,Environment control
27,123164295A,Clostridium_perfringens,0,Environment control
28,1452809344A,Clostridium_perfringens,0,Black-headed gull
29,1452809344A,Exiguobacterium_undae,0,Black-headed gull
30,1452809344A,Others,0,Black-headed gull
31,1452809344A,Unclassified,0,Black-headed gull
32,1452809344A,Escherichia_coli,0,Black-headed gull
33,1452809344A,Saccharomyces_cerevisiae,0,Black-headed gull
34,1452809344A,Microcystis_aeruginosa,0,Black-headed gull
35,1452809344A,Catellicoccus_marimammalium,100,Black-headed gull
36,1452809344A,Bradyrhizobium_viridifuturi,0,Black-headed gull
37,1452809393A,Unclassified,0,Black-headed gull
38,1452809393A,Others,0.0013100000000037,Black-headed gull
39,1452809393A,Bradyrhizobium_viridifuturi,0,Black-headed gull
40,1452809393A,Exiguobacterium_undae,0,Black-headed gull
41,1452809393A,Catellicoccus_marimammalium,99.99869,Black-headed gull
42,1452809393A,Microcystis_aeruginosa,0,Black-headed gull
